,col_name,feature_importance_vals
60,speed__fourier_entropy__bins_2,0.022001813586145638
94,"speed__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.021781196148706525
110,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.021225951805202994
59,speed__index_mass_quantile__q_0.4,0.021045738344374315
16,speed__abs_energy,0.021033003849883408
37,speed__index_mass_quantile__q_0.1,0.021029836291719305
39,speed__lempel_ziv_complexity__bins_10,0.02084013271236437
108,"speed__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",0.020736223253499594
106,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.020735436149911763
1,speed__absolute_sum_of_changes,0.02066757512574814
100,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.020557051504186886
72,speed__variance,0.019942033519919373
15,speed__permutation_entropy__dimension_6__tau_1,0.019928668946787114
138,traff_jam,0.019563236330088354
50,speed__index_mass_quantile__q_0.2,0.019378461120004187
90,"speed__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.019237488960972524
132,client_rate_ride,0.01921803990515454
118,"speed__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.019173979322805925
42,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.019137294010853807
41,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.0190803511893324
8,"speed__fft_aggregated__aggtype_""centroid""",0.01871466080908276
29,speed__lempel_ziv_complexity__bins_5,0.0185750261450417
28,speed__last_location_of_minimum,0.018223669630506308
48,speed__index_mass_quantile__q_0.3,0.017766082593650655
71,speed__standard_deviation,0.017373404521197688
9,"speed__fft_coefficient__attr_""abs""__coeff_0",0.016584718095503707
55,"speed__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.016439345071969407
17,speed__permutation_entropy__dimension_5__tau_1,0.016186261511987005
25,speed__lempel_ziv_complexity__bins_3,0.01618458017060172
34,"speed__linear_trend__attr_""stderr""",0.01609634530326186
86,speed__spkt_welch_density__coeff_2,0.01596078742433852
2,speed__cid_ce__normalize_False,0.015854375011460496
47,"speed__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.015596497946677395
83,"speed__linear_trend__attr_""rvalue""",0.01497557690147679
96,speed__number_crossing_m__m_1,0.014752239264759002
145,distance_thresh,0.013827530177761418
77,"speed__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",0.013673946810975031
128,arrived_duration,0.013030355985694577
6,speed__sum_values,0.013020184729412786
151,is_comment_y,0.012481770945731979
135,comment,0.011752650243468207
18,speed__permutation_entropy__dimension_7__tau_1,0.011630152617781983
21,speed__count_above_mean,0.011535460284171415
7,"speed__fft_coefficient__attr_""real""__coeff_0",0.011471069377654682
13,speed__number_cwt_peaks__n_1,0.01127952487762924
12,speed__range_count__max_1000000000000.0__min_0,0.011075799555458838
19,speed__number_peaks__n_5,0.010645087118206243
24,speed__number_peaks__n_3,0.01024309415993456
4,speed__number_cwt_peaks__n_5,0.009712632455587032
140,holiday,0.009494494627728903
5,"speed__fft_aggregated__aggtype_""variance""",0.00947995609771445
22,speed__number_peaks__n_10,0.008977597759662963
10,speed__number_peaks__n_1,0.008867554405454732
141,count_words,0.007999848994219698
3,speed__count_below_mean,0.007499940248227141
43,speed__longest_strike_below_mean,0.007288645436177326
14,speed__lempel_ziv_complexity__bins_2,0.006766964810161057
136,is_comment_x,0.00545903405220997
11,speed__length,0.004903829622775224
111,"speed__fft_coefficient__attr_""real""__coeff_72",0.0011048247691537096
144,normal_words,0.0
143,agg_words,0.0
126,near_violations,0.0
125,violations,0.0
124,order_id,0.0
